c,rb,pl
https://data.naa.gov.au/def/agift/Environmental-impact-assessment,https://data.naa.gov.au/def/agift/ENVIRONMENT,Environmental impact assessment
https://data.naa.gov.au/def/agift/Epidemiology,https://data.naa.gov.au/def/agift/Public-health-services,Epidemiology
https://data.naa.gov.au/def/agift/Equipment-licensing,https://data.naa.gov.au/def/agift/Telecommunications,Equipment licensing
https://data.naa.gov.au/def/agift/Ethical-compliance,https://data.naa.gov.au/def/agift/SCIENCE,Ethical compliance
https://data.naa.gov.au/def/agift/Exchange-rates,https://data.naa.gov.au/def/agift/Monetary-policy,Exchange rates
https://data.naa.gov.au/def/agift/Exhibition-programs--,https://data.naa.gov.au/def/agift/Collection-promotion--,Exhibition programs
https://data.naa.gov.au/def/agift/Export-promotion,https://data.naa.gov.au/def/agift/Export-regulation,Export promotion
https://data.naa.gov.au/def/agift/Export-regulation,https://data.naa.gov.au/def/agift/TRADE,Export regulation
https://data.naa.gov.au/def/agift/External-security,https://data.naa.gov.au/def/agift/SECURITY,External security
https://data.naa.gov.au/def/agift/FINANCE-MANAGEMENT,,FINANCE MANAGEMENT
https://data.naa.gov.au/def/agift/Fair-trading-compliance,https://data.naa.gov.au/def/agift/BUSINESS-SUPPORT-AND-REGULATION,Fair trading compliance
https://data.naa.gov.au/def/agift/Family-law-proceedings,https://data.naa.gov.au/def/agift/Civil-law,Family law proceedings
https://data.naa.gov.au/def/agift/Family-reunion-programs,https://data.naa.gov.au/def/agift/Community-support,Family reunion programs
https://data.naa.gov.au/def/agift/Feral-pest-control,https://data.naa.gov.au/def/agift/Natural-heritage-protection,Feral pest control
https://data.naa.gov.au/def/agift/Financial-administration,https://data.naa.gov.au/def/agift/Resource-management,Financial administration
https://data.naa.gov.au/def/agift/Financial-assistance,https://data.naa.gov.au/def/agift/COMMUNITY-SERVICES,Financial assistance
https://data.naa.gov.au/def/agift/Financial-budgeting,https://data.naa.gov.au/def/agift/Resource-management,Financial budgeting
https://data.naa.gov.au/def/agift/Financial-institutions-regulation,https://data.naa.gov.au/def/agift/BUSINESS-SUPPORT-AND-REGULATION,Financial institutions regulation
https://data.naa.gov.au/def/agift/Financial-investment,https://data.naa.gov.au/def/agift/FINANCE-MANAGEMENT,Financial investment
https://data.naa.gov.au/def/agift/Financial-system-management,https://data.naa.gov.au/def/agift/FINANCE-MANAGEMENT,Financial system management
https://data.naa.gov.au/def/agift/Financial-system-monitoring,https://data.naa.gov.au/def/agift/Financial-system-management,Financial system monitoring
https://data.naa.gov.au/def/agift/Finding-aids-development--,https://data.naa.gov.au/def/agift/Collection-access--,Finding aids development
https://data.naa.gov.au/def/agift/Firefighting-services,https://data.naa.gov.au/def/agift/Emergency-services,Firefighting services
https://data.naa.gov.au/def/agift/Fiscal-policy,https://data.naa.gov.au/def/agift/FINANCE-MANAGEMENT,Fiscal policy
https://data.naa.gov.au/def/agift/Fisheries-industry,https://data.naa.gov.au/def/agift/Marine-and-rural-regulation,Fisheries industry
https://data.naa.gov.au/def/agift/Food-hygiene-regulation,https://data.naa.gov.au/def/agift/Health-protocol-administration,Food hygiene regulation
https://data.naa.gov.au/def/agift/Food-quality-assurance,https://data.naa.gov.au/def/agift/Marine-and-rural-regulation,Food quality assurance
https://data.naa.gov.au/def/agift/Foreign-investment-control,https://data.naa.gov.au/def/agift/FINANCE-MANAGEMENT,Foreign investment control
https://data.naa.gov.au/def/agift/Forensic-analysis,https://data.naa.gov.au/def/agift/Intelligence,Forensic analysis
https://data.naa.gov.au/def/agift/Forestry-industry,https://data.naa.gov.au/def/agift/Marine-and-rural-regulation,Forestry industry
https://data.naa.gov.au/def/agift/Fossil-fuel-management,https://data.naa.gov.au/def/agift/Energy-resources,Fossil fuel management
